integer-1,integer-1,integer-1,integer-1,decimal-1,decimal-1,decimal-1,decimal-1,varchar-4,varchar-4,date-1,date-1,date-1,varchar-28,varchar-12,varchar-48
7591,1965,54,1,11,20536.56,0.01,0.00,R,F,1993-06-13,1993-07-24,1993-06-20,DELIVER IN PERSON        ,AIR       ,otes cajole of the carefully regular pint
7682,1067,73,2,12,11616.72,0.10,0.06,N,O,1997-12-06,1997-12-01,1998-01-03,DELIVER IN PERSON        ,AIR       ,ons sublate. bold deposits according to the
7717,1151,88,4,25,26303.75,0.02,0.08,N,O,1996-11-16,1996-10-25,1996-12-13,DELIVER IN PERSON        ,AIR       , sleep against the regular pinto beans. f
7718,291,19,1,8,9530.32,0.04,0.07,N,O,1998-03-15,1998-04-07,1998-03-19,DELIVER IN PERSON        ,AIR       , cajole against the blith
7746,1562,83,1,11,16099.16,0.06,0.02,A,F,1994-02-21,1994-02-04,1994-03-20,DELIVER IN PERSON        ,AIR       ,c packages. regular
7873,170,71,1,1,1070.17,0.09,0.02,A,F,1992-08-24,1992-09-18,1992-09-13,DELIVER IN PERSON        ,AIR       , cajole slyly across the final packag
7877,1202,40,4,21,23167.20,0.04,0.06,N,O,1996-04-28,1996-04-12,1996-05-09,DELIVER IN PERSON        ,AIR       , even deposits integra
8000,1337,76,1,28,34673.24,0.05,0.03,A,F,1994-01-11,1993-11-28,1994-01-18,DELIVER IN PERSON        ,AIR       ,gside of the s
8034,627,28,1,24,36662.88,0.00,0.08,A,F,1992-04-11,1992-03-08,1992-04-16,DELIVER IN PERSON        ,AIR       ,ged packages
8133,1636,60,1,30,46128.90,0.05,0.04,R,F,1995-06-06,1995-04-23,1995-06-08,DELIVER IN PERSON        ,AIR       ,equests. closely e
8167,240,41,3,4,4560.96,0.03,0.05,A,F,1992-11-06,1992-10-30,1992-12-05,DELIVER IN PERSON        ,AIR       ,en deposits alongside of the slyly even s
8322,47,98,3,18,17046.72,0.10,0.03,N,O,1996-07-12,1996-06-12,1996-07-19,DELIVER IN PERSON        ,AIR       ,counts-- ironic instructions wak
8388,385,70,1,30,38561.40,0.06,0.07,R,F,1992-06-07,1992-04-24,1992-06-18,DELIVER IN PERSON        ,AIR       ,uses sleep slyly around the specia
8451,590,51,1,30,44717.70,0.07,0.02,N,O,1996-03-04,1996-02-28,1996-03-16,DELIVER IN PERSON        ,AIR       ,edly final deposits after the spec
8480,1022,28,4,29,26767.58,0.07,0.01,A,F,1995-01-31,1995-04-12,1995-02-14,DELIVER IN PERSON        ,AIR       ,", regular ideas. pending ideas x-ray f"
8486,1016,52,4,15,13755.15,0.04,0.07,N,O,1997-01-23,1997-02-26,1997-02-17,DELIVER IN PERSON        ,AIR       ,ven ideas are. carefu
8546,799,96,3,11,18697.69,0.06,0.08,R,F,1992-06-06,1992-05-28,1992-06-23,DELIVER IN PERSON        ,AIR       ,", ironic requests sleep fluffily"
8581,416,17,2,8,10531.28,0.07,0.05,R,F,1993-08-19,1993-09-23,1993-09-01,DELIVER IN PERSON        ,AIR       ,sly according to the furiously special 
8706,966,1,5,22,41073.12,0.10,0.01,N,O,1996-08-15,1996-09-07,1996-08-20,DELIVER IN PERSON        ,AIR       ,oxes above the express de
8774,1934,79,2,12,22031.16,0.06,0.07,N,O,1996-06-28,1996-05-24,1996-07-18,DELIVER IN PERSON        ,AIR       ,tes wake slyly accor
8838,1936,25,4,4,7351.72,0.04,0.00,N,O,1997-11-05,1997-11-29,1997-11-14,DELIVER IN PERSON        ,AIR       ,nstructions are among the furiously iron
8864,917,86,1,5,9089.55,0.01,0.04,N,O,1997-02-18,1997-04-26,1997-02-19,DELIVER IN PERSON        ,AIR       , final pinto beans are blithely 
8869,266,21,4,18,20992.68,0.00,0.06,R,F,1993-09-12,1993-07-07,1993-09-27,DELIVER IN PERSON        ,AIR       ,ly final instructions use furiously regu
8992,659,60,3,5,7798.25,0.04,0.06,A,F,1994-02-20,1994-01-30,1994-03-16,DELIVER IN PERSON        ,AIR       ,s wake some
9024,1895,39,2,12,21562.68,0.04,0.08,A,F,1992-09-21,1992-07-19,1992-10-08,DELIVER IN PERSON        ,AIR       ,ven deposits
9123,58,9,3,7,6706.35,0.00,0.06,R,F,1993-07-20,1993-09-05,1993-08-01,DELIVER IN PERSON        ,AIR       ,"ronic, bold deposits. "
9155,1294,32,1,10,11952.90,0.04,0.03,R,F,1992-11-01,1992-10-23,1992-11-23,DELIVER IN PERSON        ,AIR       , carefully. final packages 
9156,1762,47,2,22,36602.72,0.03,0.00,R,F,1994-02-08,1994-04-01,1994-02-24,DELIVER IN PERSON        ,AIR       ,equests dete
9158,445,4,2,1,1345.44,0.07,0.00,A,F,1995-05-10,1995-06-27,1995-05-24,DELIVER IN PERSON        ,AIR       , fluffily bold deposits. blithely re
9159,1177,50,2,8,8625.36,0.06,0.08,N,O,1995-08-16,1995-09-20,1995-09-09,DELIVER IN PERSON        ,AIR       ,accounts wake. regular accou
9219,376,33,2,26,33185.62,0.00,0.01,R,F,1995-01-25,1994-11-23,1995-02-10,DELIVER IN PERSON        ,AIR       ,y even acc
9220,1125,62,1,1,1026.12,0.07,0.04,N,O,1998-07-06,1998-07-06,1998-08-03,DELIVER IN PERSON        ,AIR       ,s haggle among the furio
9280,576,67,6,14,20671.98,0.07,0.04,N,O,1998-09-21,1998-08-16,1998-10-15,DELIVER IN PERSON        ,AIR       ,l packages. carefully silent hockey player
9313,646,47,3,16,24746.24,0.10,0.04,N,O,1996-04-29,1996-06-12,1996-05-25,DELIVER IN PERSON        ,AIR       ,are bold deposits. special th
9348,668,62,1,8,12549.28,0.09,0.05,N,O,1996-08-09,1996-08-23,1996-09-06,DELIVER IN PERSON        ,AIR       ,the special pack
9349,729,26,7,20,32594.40,0.04,0.02,N,O,1997-10-18,1997-10-16,1997-10-22,DELIVER IN PERSON        ,AIR       ,impress blithely slyly unusual d
9376,278,79,2,13,15317.51,0.08,0.01,N,O,1997-10-28,1997-09-12,1997-10-29,DELIVER IN PERSON        ,AIR       ,ges sleep slyly caref
9443,1554,35,2,11,16011.05,0.06,0.08,N,O,1997-05-18,1997-06-27,1997-06-15,DELIVER IN PERSON        ,AIR       ,ites? quickly unusua
9570,24,100,5,19,17556.38,0.06,0.07,N,O,1996-06-18,1996-08-07,1996-06-22,DELIVER IN PERSON        ,AIR       ,excuses dazzle carefully accor
9702,122,1,2,14,14309.68,0.05,0.06,N,O,1996-10-10,1996-10-06,1996-10-14,DELIVER IN PERSON        ,AIR       ,. final packages ato
9732,1452,92,1,4,5413.80,0.09,0.06,N,O,1995-06-25,1995-05-26,1995-07-12,DELIVER IN PERSON        ,AIR       ,s. regular pac
9764,1355,56,1,23,28896.05,0.09,0.03,A,F,1993-02-25,1993-03-04,1993-03-15,DELIVER IN PERSON        ,AIR       ,"regular, ironic requests wake across"
9793,1417,57,2,2,2636.82,0.01,0.06,R,F,1992-05-01,1992-05-05,1992-05-03,DELIVER IN PERSON        ,AIR       ,ding theodolites abov
9794,104,57,7,8,8032.80,0.00,0.05,A,F,1992-07-01,1992-05-15,1992-07-25,DELIVER IN PERSON        ,AIR       ,ular asympto
9857,163,16,6,5,5315.80,0.09,0.00,A,F,1993-08-04,1993-06-27,1993-09-02,DELIVER IN PERSON        ,AIR       ,ongside of the fin
9859,1092,93,1,20,19861.80,0.04,0.06,N,O,1996-09-03,1996-09-06,1996-10-02,DELIVER IN PERSON        ,AIR       ,es according to the quickly r
10275,1707,8,1,12,19304.40,0.00,0.01,N,O,1997-08-31,1997-08-14,1997-09-17,DELIVER IN PERSON        ,AIR       ,ts use alongside of the g
10337,924,59,4,20,36498.40,0.03,0.04,N,O,1996-05-09,1996-06-06,1996-05-28,DELIVER IN PERSON        ,AIR       ,s are across the fluffily regular deposi
10338,400,1,1,2,2600.80,0.05,0.06,N,O,1995-08-01,1995-09-02,1995-08-07,DELIVER IN PERSON        ,AIR       , deposits integrate slyly slyly unusual i
10438,390,91,4,27,34840.53,0.06,0.07,R,F,1993-01-27,1993-01-15,1993-02-15,DELIVER IN PERSON        ,AIR       ,packages affix blithely along 
10532,1083,54,3,26,25586.08,0.02,0.02,N,O,1998-01-05,1998-02-02,1998-01-23,DELIVER IN PERSON        ,AIR       ,xpress deposits. forges are regularly a
10597,1084,85,3,6,5910.48,0.06,0.03,N,O,1996-09-24,1996-10-30,1996-10-03,DELIVER IN PERSON        ,AIR       ,iously final depths boost bold requests. d
10663,78,54,1,27,26407.89,0.09,0.03,R,F,1994-06-09,1994-08-16,1994-07-08,DELIVER IN PERSON        ,AIR       ,se besides the regular pinto beans. slyly 
10692,1319,58,2,3,3660.93,0.07,0.06,R,F,1994-10-04,1994-09-19,1994-10-09,DELIVER IN PERSON        ,AIR       ,"he fluffy, unusual accounts. blithel"
10721,1348,25,1,25,31233.50,0.02,0.08,N,O,1996-04-18,1996-05-09,1996-04-28,DELIVER IN PERSON        ,AIR       ,nto beans. careful
10854,785,82,1,3,5057.34,0.08,0.05,N,O,1998-08-11,1998-07-30,1998-08-17,DELIVER IN PERSON        ,AIR       ,"ing to the ironic, final foxes. special ac"
10881,1351,66,2,15,18785.25,0.09,0.00,A,F,1994-04-08,1994-04-27,1994-04-22,DELIVER IN PERSON        ,AIR       ,dugouts boost against the
10917,193,94,1,15,16397.85,0.01,0.01,R,F,1992-03-23,1992-03-31,1992-04-12,DELIVER IN PERSON        ,AIR       ,pite the slyly final p
10917,1499,100,3,18,25208.82,0.09,0.08,A,F,1992-03-12,1992-04-18,1992-04-08,DELIVER IN PERSON        ,AIR       , doubt furiously carefully regula
10981,1800,1,6,30,51054.00,0.01,0.08,R,F,1993-06-09,1993-07-15,1993-06-12,DELIVER IN PERSON        ,AIR       ,heodolites above the 
11013,441,71,1,2,2682.88,0.08,0.05,R,F,1994-07-24,1994-06-09,1994-08-02,DELIVER IN PERSON        ,AIR       ,ges nag slyly even 
11201,1767,68,1,2,3337.52,0.05,0.04,N,O,1996-12-21,1997-02-21,1996-12-27,DELIVER IN PERSON        ,AIR       ,ns. regular i
11264,355,84,5,16,20085.60,0.03,0.08,N,O,1996-11-12,1996-11-13,1996-12-03,DELIVER IN PERSON        ,AIR       , express theodolites. even accounts hag
11298,1687,29,6,12,19064.16,0.06,0.07,N,O,1998-01-20,1998-03-21,1998-02-15,DELIVER IN PERSON        ,AIR       ,refully regular ideas
11299,257,39,2,15,17358.75,0.07,0.07,R,F,1993-12-21,1993-12-13,1994-01-14,DELIVER IN PERSON        ,AIR       ,yly at the carefully ironic theodo
11395,322,23,1,24,29335.68,0.02,0.03,N,O,1997-10-28,1997-10-16,1997-10-31,DELIVER IN PERSON        ,AIR       ," regular, enticing accounts breach ab"
11427,41,92,1,24,22584.96,0.05,0.03,R,F,1994-03-03,1994-01-27,1994-03-24,DELIVER IN PERSON        ,AIR       ,"e furiously. final, regular sauternes "
11456,1227,28,2,6,6769.32,0.04,0.03,A,F,1993-06-20,1993-07-12,1993-06-21,DELIVER IN PERSON        ,AIR       ,ly even packages grow. furiou
11460,321,78,1,6,7327.92,0.07,0.06,A,F,1993-11-14,1993-10-31,1993-11-25,DELIVER IN PERSON        ,AIR       ,packages. blithely pending ideas i
11463,973,76,6,25,46849.25,0.02,0.08,N,O,1998-04-16,1998-01-30,1998-04-23,DELIVER IN PERSON        ,AIR       ,t requests. final instructions hang acc
11522,348,77,2,5,6241.70,0.03,0.00,A,F,1993-10-10,1993-11-13,1993-10-19,DELIVER IN PERSON        ,AIR       , foxes. express packages
11523,1136,73,2,21,21779.73,0.03,0.06,N,O,1998-08-06,1998-09-09,1998-08-13,DELIVER IN PERSON        ,AIR       , pinto beans
11556,332,33,4,13,16020.29,0.09,0.02,N,O,1996-05-22,1996-05-26,1996-06-13,DELIVER IN PERSON        ,AIR       , pinto beans wake furiousl
11680,692,24,7,9,14334.21,0.09,0.02,R,F,1994-12-20,1994-11-29,1995-01-19,DELIVER IN PERSON        ,AIR       ,ently ironic grouches after the 
11684,1902,47,5,25,45097.50,0.01,0.01,A,F,1992-10-20,1992-10-19,1992-11-09,DELIVER IN PERSON        ,AIR       ,e theodolites. foxes solve carefu
11685,1194,95,6,30,32855.70,0.03,0.06,N,O,1997-04-05,1997-06-13,1997-04-12,DELIVER IN PERSON        ,AIR       ,ily ironic theod
11714,1161,62,4,23,24429.68,0.07,0.08,A,F,1994-11-11,1994-10-29,1994-12-08,DELIVER IN PERSON        ,AIR       ,r ideas. furious pinto beans wake slyl
11782,1593,34,1,27,40353.93,0.01,0.00,A,F,1992-08-10,1992-09-05,1992-08-20,DELIVER IN PERSON        ,AIR       ,above the quickly even pains. bold 
11841,1859,3,5,4,7043.40,0.03,0.01,A,F,1993-08-01,1993-07-08,1993-08-09,DELIVER IN PERSON        ,AIR       ,iously silent the
11876,1598,19,5,2,2999.18,0.00,0.07,N,O,1995-10-12,1995-09-19,1995-11-04,DELIVER IN PERSON        ,AIR       ,heaves-- slyly fluffy deposits sleep
11936,849,50,2,5,8749.20,0.08,0.06,N,O,1996-01-05,1995-10-25,1996-01-22,DELIVER IN PERSON        ,AIR       ,the ironic instructions. quickly i
12039,1370,71,7,10,12713.70,0.10,0.07,R,F,1993-08-05,1993-08-31,1993-08-07,DELIVER IN PERSON        ,AIR       ,instructions
12064,465,95,4,24,32771.04,0.03,0.04,R,F,1992-12-08,1992-12-03,1993-01-06,DELIVER IN PERSON        ,AIR       ,ly. carefully silent a
12128,268,50,1,22,25701.72,0.10,0.04,N,O,1997-08-30,1997-09-04,1997-09-01,DELIVER IN PERSON        ,AIR       , accounts are slyl
12194,595,26,2,14,20938.26,0.06,0.07,A,F,1995-04-10,1995-05-24,1995-04-17,DELIVER IN PERSON        ,AIR       ,deas impress at the quickly unusual the
12227,1881,25,7,13,23177.44,0.09,0.08,N,O,1998-08-15,1998-09-22,1998-08-31,DELIVER IN PERSON        ,AIR       ," platelets. final, ironic pin"
12259,936,39,7,14,25717.02,0.07,0.00,R,F,1993-03-11,1993-04-12,1993-03-29,DELIVER IN PERSON        ,AIR       ,ecial sheaves. final accounts cajole 
12262,216,17,1,17,18975.57,0.02,0.07,N,O,1996-01-29,1996-01-25,1996-02-11,DELIVER IN PERSON        ,AIR       ,onic packages. ex
12358,1899,100,1,19,34216.91,0.04,0.00,N,O,1997-01-15,1996-12-03,1997-02-10,DELIVER IN PERSON        ,AIR       ,. carefully even deposi
12389,1188,89,3,12,13070.16,0.07,0.04,R,F,1994-09-19,1994-10-18,1994-10-15,DELIVER IN PERSON        ,AIR       ,e special accounts. bl
12416,601,2,1,7,10511.20,0.10,0.05,R,F,1993-10-18,1993-09-01,1993-10-27,DELIVER IN PERSON        ,AIR       ,packages. slyly un
12455,995,96,4,29,54983.71,0.09,0.06,A,F,1992-11-23,1992-11-21,1992-11-24,DELIVER IN PERSON        ,AIR       ,l escapades. quickly ex
12512,1784,69,2,28,47201.84,0.10,0.01,N,O,1996-07-04,1996-05-06,1996-07-22,DELIVER IN PERSON        ,AIR       , packages. regular accounts haggle fur
12519,283,11,3,26,30765.28,0.08,0.00,R,F,1994-01-11,1994-02-28,1994-02-04,DELIVER IN PERSON        ,AIR       ,g the blithely special accou
12577,173,26,2,17,18243.89,0.05,0.07,N,O,1998-06-04,1998-08-06,1998-06-06,DELIVER IN PERSON        ,AIR       ,refully ironic requests. fin
12583,609,3,1,30,45288.00,0.09,0.04,N,O,1996-02-10,1996-03-27,1996-02-23,DELIVER IN PERSON        ,AIR       ,"ial, regular plate"
12644,1098,4,1,19,18982.71,0.09,0.04,A,F,1992-02-07,1992-03-31,1992-02-24,DELIVER IN PERSON        ,AIR       ,r furiously final packa
12674,1453,93,1,29,39279.05,0.08,0.00,A,F,1992-09-21,1992-08-31,1992-10-01,DELIVER IN PERSON        ,AIR       ,furiously unusu
12741,498,57,2,27,37759.23,0.10,0.04,A,F,1992-09-10,1992-10-04,1992-10-06,DELIVER IN PERSON        ,AIR       ,usual accounts. e
12768,806,7,5,10,17068.00,0.06,0.07,R,F,1994-04-23,1994-05-10,1994-05-21,DELIVER IN PERSON        ,AIR       ,ly alongside o
12775,1035,6,2,9,8424.27,0.06,0.02,N,O,1996-10-24,1996-12-11,1996-10-31,DELIVER IN PERSON        ,AIR       , express hockey players sleep fur
12838,1899,29,1,21,37818.69,0.10,0.07,N,O,1998-07-17,1998-08-28,1998-07-25,DELIVER IN PERSON        ,AIR       ,nes sleep furiously against the
12839,458,59,5,5,6792.25,0.10,0.04,N,O,1998-02-14,1998-02-19,1998-03-11,DELIVER IN PERSON        ,AIR       ,express accounts b
12867,722,87,1,14,22718.08,0.02,0.04,A,F,1995-04-20,1995-05-29,1995-05-09,DELIVER IN PERSON        ,AIR       ,ts. furiously regular instructio
12934,111,12,5,13,13144.43,0.02,0.07,A,F,1994-04-25,1994-05-06,1994-05-21,DELIVER IN PERSON        ,AIR       ," final requests cajole bold, silent reque"
12960,1374,51,3,8,10202.96,0.01,0.02,R,F,1994-01-05,1993-11-27,1994-02-01,DELIVER IN PERSON        ,AIR       ,"its cajole. special, bold requests "
13089,1909,10,1,28,50705.20,0.05,0.08,N,O,1996-04-07,1996-01-25,1996-04-22,DELIVER IN PERSON        ,AIR       ,theodolites boost blithely 
13122,806,6,2,8,13654.40,0.09,0.02,A,F,1995-01-15,1994-11-23,1995-01-19,DELIVER IN PERSON        ,AIR       ,carefully 
13153,580,11,4,13,19247.54,0.01,0.05,N,O,1997-03-03,1997-01-08,1997-03-06,DELIVER IN PERSON        ,AIR       ,s thrash. regular acco
13155,303,88,1,5,6016.50,0.06,0.01,N,O,1996-07-15,1996-08-27,1996-07-22,DELIVER IN PERSON        ,AIR       ,haggle slyly final hockey pla
13315,25,76,3,8,7400.16,0.00,0.05,N,O,1996-12-27,1997-01-01,1996-12-31,DELIVER IN PERSON        ,AIR       ,olites. careful
13344,1541,82,3,30,43276.20,0.08,0.02,N,O,1997-07-17,1997-05-20,1997-08-15,DELIVER IN PERSON        ,AIR       ,sts. fluffily bold plate
13377,1474,14,2,1,1375.47,0.02,0.00,N,O,1995-11-17,1995-09-30,1995-12-07,DELIVER IN PERSON        ,AIR       ,lthy excuses.
13382,74,75,3,1,974.07,0.09,0.08,N,O,1996-01-05,1996-01-16,1996-01-18,DELIVER IN PERSON        ,AIR       ,s detect closely a
13446,1961,50,1,13,24218.48,0.02,0.00,N,O,1996-06-28,1996-04-17,1996-07-21,DELIVER IN PERSON        ,AIR       ,ular deposits. blithely regular acco
13472,1960,5,2,3,5585.88,0.06,0.02,N,O,1996-02-19,1996-01-09,1996-03-15,DELIVER IN PERSON        ,AIR       ,slyly after the carefully
13543,1126,99,2,7,7189.84,0.02,0.05,A,F,1992-08-28,1992-10-15,1992-09-08,DELIVER IN PERSON        ,AIR       ,ously bold multipliers 
13600,71,97,2,7,6797.49,0.06,0.05,A,F,1993-08-16,1993-09-01,1993-08-24,DELIVER IN PERSON        ,AIR       ,ests. ironic instructions 
13632,1207,19,2,1,1108.20,0.04,0.08,R,F,1994-03-20,1994-05-21,1994-04-13,DELIVER IN PERSON        ,AIR       ,ons. instructions are ca
13733,1116,89,4,3,3051.33,0.10,0.07,N,O,1998-03-12,1998-02-16,1998-03-31,DELIVER IN PERSON        ,AIR       ,ly express excuse
13798,137,90,3,11,11408.43,0.01,0.02,N,O,1996-06-02,1996-04-10,1996-06-20,DELIVER IN PERSON        ,AIR       ,. ironic ide
13829,916,17,3,12,21802.92,0.05,0.04,N,O,1996-09-29,1996-11-21,1996-10-20,DELIVER IN PERSON        ,AIR       ,ld ideas-- regular instructions 
13861,1243,44,7,9,10298.16,0.05,0.05,A,F,1993-11-10,1993-09-24,1993-11-21,DELIVER IN PERSON        ,AIR       ,ual theodolites haggle furiously until th
13987,326,83,2,20,24526.40,0.04,0.05,N,O,1998-07-25,1998-05-17,1998-08-23,DELIVER IN PERSON        ,AIR       ,carefully brave foxes. carefully final p
14019,997,32,4,19,36061.81,0.01,0.03,N,O,1997-10-16,1997-12-01,1997-11-13,DELIVER IN PERSON        ,AIR       ,s among the fluffily special requests boo
14054,1318,95,4,20,24386.20,0.06,0.02,N,O,1996-04-12,1996-04-07,1996-04-30,DELIVER IN PERSON        ,AIR       ,ven packages. carefully ironic somas 
14117,1639,40,1,23,35434.49,0.03,0.06,A,F,1993-10-14,1993-10-31,1993-10-25,DELIVER IN PERSON        ,AIR       ,sly regular courts. ca
14181,77,28,5,3,2931.21,0.00,0.01,N,O,1998-05-04,1998-04-08,1998-05-20,DELIVER IN PERSON        ,AIR       ,ly regular ideas cajole fluffi
14211,1922,11,5,3,5471.76,0.05,0.03,A,F,1994-03-26,1994-05-07,1994-04-03,DELIVER IN PERSON        ,AIR       ,lar excuses boost. slyly pen
14212,656,19,4,15,23349.75,0.09,0.06,R,F,1992-04-11,1992-03-26,1992-04-20,DELIVER IN PERSON        ,AIR       ,ilent platelets abo
14242,445,4,1,17,22872.48,0.03,0.04,N,F,1995-06-17,1995-06-09,1995-06-25,DELIVER IN PERSON        ,AIR       ,posits. quickly even instructions are 
14309,1901,90,3,10,18029.00,0.07,0.01,R,F,1994-05-06,1994-04-16,1994-06-01,DELIVER IN PERSON        ,AIR       ,detect fluffily along the 
14400,1907,8,3,26,47031.40,0.00,0.01,R,F,1994-03-30,1994-04-15,1994-04-08,DELIVER IN PERSON        ,AIR       ,ans. special r
14403,1375,76,3,7,8934.59,0.04,0.02,N,O,1998-06-25,1998-05-12,1998-07-18,DELIVER IN PERSON        ,AIR       ,lyly ironic asymptotes. fluffily regular 
14496,1422,1,2,27,35732.34,0.04,0.08,N,O,1996-07-14,1996-05-27,1996-08-03,DELIVER IN PERSON        ,AIR       ,g the blithely special t
14598,573,64,5,7,10314.99,0.06,0.02,N,O,1998-03-18,1998-04-28,1998-04-02,DELIVER IN PERSON        ,AIR       ,lithely even dependencie
14656,596,97,1,21,31428.39,0.09,0.00,N,O,1998-01-23,1997-12-23,1998-02-15,DELIVER IN PERSON        ,AIR       ,lar deposits. fluffily regular accounts w
14720,1563,44,2,4,5858.24,0.00,0.01,A,F,1993-09-11,1993-11-27,1993-09-26,DELIVER IN PERSON        ,AIR       ,ly silent requests wake fluf
14758,1134,43,2,9,9316.17,0.10,0.08,R,F,1994-02-06,1994-01-10,1994-02-12,DELIVER IN PERSON        ,AIR       ,al deposits wake blit
14790,242,43,4,4,4568.96,0.06,0.00,N,O,1996-09-23,1996-11-01,1996-09-28,DELIVER IN PERSON        ,AIR       ,fily ironic dinos c
14791,45,46,1,25,23626.00,0.06,0.05,R,F,1993-03-06,1993-04-10,1993-03-27,DELIVER IN PERSON        ,AIR       ,bold packages. furiously pending de
14822,1832,62,1,23,39878.09,0.06,0.04,N,O,1996-07-22,1996-06-05,1996-08-13,DELIVER IN PERSON        ,AIR       ,ironic dep
14854,1836,66,2,3,5213.49,0.00,0.07,R,F,1993-08-27,1993-07-26,1993-09-09,DELIVER IN PERSON        ,AIR       , ironic pinto beans use blithely around 
14855,1280,18,2,28,33075.84,0.04,0.01,R,F,1993-08-04,1993-06-11,1993-08-20,DELIVER IN PERSON        ,AIR       ,ronic packages. slyly 
14917,1919,20,5,21,38239.11,0.04,0.05,N,O,1998-02-18,1998-04-01,1998-03-02,DELIVER IN PERSON        ,AIR       ,as above the regular excuses ha
14980,1335,12,5,20,24726.60,0.08,0.06,R,F,1992-09-12,1992-09-10,1992-10-01,DELIVER IN PERSON        ,AIR       ,l theodolites. ironic acc
15143,787,52,1,7,11814.46,0.08,0.06,N,O,1998-09-19,1998-07-09,1998-10-15,DELIVER IN PERSON        ,AIR       ,lyly ironic requests. quickly regular
15173,1454,33,3,21,28464.45,0.04,0.02,A,F,1992-03-18,1992-05-13,1992-04-11,DELIVER IN PERSON        ,AIR       , instructions. qui
15269,359,16,5,3,3778.05,0.09,0.04,N,O,1996-09-25,1996-11-15,1996-10-03,DELIVER IN PERSON        ,AIR       ,tions lose fluffily be
15332,1231,69,3,2,2264.46,0.01,0.01,A,F,1993-09-25,1993-07-16,1993-10-19,DELIVER IN PERSON        ,AIR       , haggle furiously regular acco
15619,985,86,7,17,32061.66,0.09,0.00,N,O,1995-10-10,1995-09-17,1995-10-23,DELIVER IN PERSON        ,AIR       ,. fluffily special the
15652,970,73,2,9,16838.73,0.02,0.05,R,F,1993-05-09,1993-04-16,1993-05-20,DELIVER IN PERSON        ,AIR       ,counts. unusual excuses hag
15653,1492,32,3,22,30656.78,0.06,0.03,N,O,1996-09-22,1996-07-27,1996-10-04,DELIVER IN PERSON        ,AIR       ,"hockey players eat ironic, eve"
15750,550,81,3,6,8703.30,0.05,0.08,N,O,1997-09-22,1997-07-07,1997-10-09,DELIVER IN PERSON        ,AIR       ,arefully unusual packages sleep into t
15809,108,61,2,6,6048.60,0.07,0.00,N,O,1995-11-05,1995-11-03,1995-12-02,DELIVER IN PERSON        ,AIR       ,eposits dazzl
15840,1552,73,4,11,15989.05,0.07,0.07,N,O,1998-03-04,1998-04-08,1998-03-25,DELIVER IN PERSON        ,AIR       ,old theodolites are blithely
15845,736,1,4,28,45828.44,0.03,0.04,N,O,1997-02-08,1996-12-26,1997-03-09,DELIVER IN PERSON        ,AIR       ,ns. furiously even packages haggle slowl
16032,1478,18,4,29,40004.63,0.09,0.01,R,F,1995-02-19,1995-01-12,1995-02-25,DELIVER IN PERSON        ,AIR       ,le about the ca
16101,697,29,1,22,35149.18,0.02,0.07,A,F,1992-10-28,1992-10-11,1992-11-06,DELIVER IN PERSON        ,AIR       , requests breac
16288,492,93,4,25,34812.25,0.04,0.02,N,O,1996-05-20,1996-04-03,1996-05-24,DELIVER IN PERSON        ,AIR       ,"ges sleep. ironic, ironic packa"
16291,821,55,2,22,37880.04,0.04,0.06,N,O,1995-08-05,1995-05-21,1995-08-30,DELIVER IN PERSON        ,AIR       ,aggle-- deposi
16293,669,63,2,17,26684.22,0.09,0.05,N,O,1997-10-11,1997-11-15,1997-11-08,DELIVER IN PERSON        ,AIR       , asymptotes haggle furiously according to
16513,1786,29,3,18,30380.04,0.08,0.01,A,F,1993-12-19,1993-10-21,1994-01-18,DELIVER IN PERSON        ,AIR       ,packages. blithe
16547,1613,37,4,5,7573.05,0.01,0.04,A,F,1994-05-14,1994-03-29,1994-05-15,DELIVER IN PERSON        ,AIR       ,grate furiously alongside of the slyly
16613,375,60,6,30,38261.10,0.00,0.02,R,F,1993-12-29,1994-02-07,1993-12-31,DELIVER IN PERSON        ,AIR       ,s are furiously carefully even foxes. speci
16642,1077,78,2,8,7824.56,0.02,0.01,R,F,1995-04-20,1995-04-07,1995-05-15,DELIVER IN PERSON        ,AIR       ,"posits. asymptotes nag. brave, unusual "
16736,1423,63,3,18,23839.56,0.07,0.04,N,O,1997-11-20,1998-01-15,1997-12-17,DELIVER IN PERSON        ,AIR       ,posits. fluffily ironic deposits wake 
16835,904,39,1,30,54147.00,0.03,0.02,A,F,1994-04-14,1994-04-10,1994-04-24,DELIVER IN PERSON        ,AIR       ,nod fluffily arou
16903,1228,66,3,9,10162.98,0.03,0.05,N,O,1997-07-31,1997-10-20,1997-08-27,DELIVER IN PERSON        ,AIR       , courts over the slyly regular requests run
16966,298,26,4,28,33552.12,0.05,0.02,A,F,1994-12-08,1994-12-08,1995-01-05,DELIVER IN PERSON        ,AIR       ,ously about the final theodolites. quick
16997,1880,24,1,26,46328.88,0.03,0.06,N,O,1997-11-05,1997-11-01,1997-11-29,DELIVER IN PERSON        ,AIR       ,ctions boost b
17026,1835,79,4,2,3473.66,0.04,0.04,N,O,1996-07-16,1996-08-28,1996-08-04,DELIVER IN PERSON        ,AIR       ,ular requests. furiousl
17221,605,6,1,1,1505.60,0.08,0.04,R,F,1994-08-28,1994-08-18,1994-09-27,DELIVER IN PERSON        ,AIR       ,n excuses cajole. 
