integer-1,varchar-32,varchar-32,integer-1
31516,Mazda,929,5719
31522,Volkswagen,CC,2215
31546,Porsche,Cayenne,2394
31569,Buick,Century,7
31607,GMC,Sierra 3500,205
31616,Land Rover,LR2,3394
31627,Pontiac,Montana SV6,3336
31635,Land Rover,Range Rover,7003
31640,Pontiac,Gemini,5283
31645,Mitsubishi,L300,5418
31667,Porsche,928,6269
31672,Mazda,B-Series,5647
31688,Ford,E-Series,6681
31750,Mazda,Protege5,3262
31751,Lincoln,Navigator,4149
31759,Acura,Integra,7049
31762,Chevrolet,Corvette,52
31767,Honda,Civic,1680
31791,Jeep,Patriot,573
31817,Mercury,Villager,791
31817,Dodge,Grand Caravan,5652
31842,Pontiac,Firefly,3924
31843,Dodge,Ram Van 2500,7099
31863,Ford,Club Wagon,2410
31887,Kia,Mentor,94
31891,Infiniti,G25,1599
31899,Honda,Accord,5444
31901,Nissan,NV2500,2503
31907,Ford,Focus,5540
31910,GMC,Savana 2500,4833
31931,Mercedes-Benz,CLK-Class,5479
31933,Chrysler,Fifth Ave,2436
31936,Chevrolet,Equinox,3693
31936,Jeep,Liberty,6945
31938,Jaguar,XK,2890
31947,Pontiac,Firefly,4458
31950,Chevrolet,Suburban 1500,2057
31968,Chevrolet,Cobalt,5024
31980,Ford,Crown Victoria,2433
31992,Hyundai,Tiburon,2323
32004,Dodge,Ram 3500 Club,2579
32008,Dodge,Viper,3358
32026,Chevrolet,Monte Carlo,7347
32028,Mazda,RX-8,4155
32036,Mazda,B-Series Plus,1704
32059,Dodge,Ram Van 2500,5883
32083,Mitsubishi,Diamante,5707
32085,Chevrolet,Malibu,2938
32100,Toyota,Xtra,7946
32101,Mercury,Milan,6794
32103,Chevrolet,Suburban 1500,311
32114,Lincoln,Mark VIII,7774
32121,Chevrolet,Camaro,3284
32123,Ford,Escape,348
32141,Buick,Century,2026
32146,Saab,9-3,142
32149,Lexus,GS,4921
32161,Volvo,C70,4298
32178,Nissan,Frontier,1045
32205,Volvo,C30,5201
32213,Ford,F150,2540
32214,Mitsubishi,Galant,218
32216,Saab,9-3,6859
32228,Mitsubishi,Truck,6763
32230,GMC,Envoy XL,685
32268,Dodge,Colt,4416
32274,Chevrolet,Malibu,3078
32285,Land Rover,Range Rover,7461
32298,GMC,Acadia,2543
32305,Dodge,Sprinter,4195
32313,Lamborghini,Countach,5988
32327,Cadillac,Escalade EXT,6279
32328,Cadillac,Fleetwood,284
32335,Mitsubishi,Galant,146
32352,Toyota,Sequoia,6714
32372,Mercedes-Benz,E-Class,7662
32373,Plymouth,Voyager,3305
32377,Kia,Mohave/Borrego,7559
32386,Mercedes-Benz,E-Class,1060
32403,Toyota,FJ Cruiser,1239
32408,Chevrolet,Corvette,7502
32416,Bentley,Continental GTC,5234
32421,Audi,80,4931
32438,Ford,F-Series Super Duty,4153
32441,Toyota,Sequoia,1861
32449,Plymouth,Acclaim,1585
32470,Pontiac,Firefly,2758
32472,Porsche,Cayman,1011
32478,Chevrolet,Silverado 3500,7591
32485,Maybach,Landaulet,2945
32499,BMW,545,4682
32514,GMC,Sierra 3500,5635
32548,Saturn,S-Series,5207
32550,Pontiac,Bonneville,6192
32555,Ford,Escape,2663
32600,GMC,Yukon,3742
32609,Mercedes-Benz,E-Class,5747
32612,Mercury,Cougar,3790
32617,Mitsubishi,Truck,7972
32619,Ford,Windstar,291
32620,Saab,9000,6411
32633,Mercedes-Benz,SL-Class,2878
32664,Subaru,Legacy,4427
32693,Honda,Odyssey,6403
32696,BMW,1 Series,2066
32720,Lexus,LS,5315
32727,Ford,Probe,6188
32731,Kia,Rondo,733
32756,Honda,Accord,1867
32807,Aston Martin,Vantage,174
32809,Mitsubishi,Eclipse,5873
32830,Toyota,Corolla,5421
32837,BMW,3 Series,1245
32848,Jeep,Commander,3800
32853,Subaru,Forester,5827
32857,Mazda,MX-5,2145
32860,Ford,F-Series,2650
32870,Pontiac,Grand Prix,4024
32894,GMC,Sierra,1182
32901,Chevrolet,Impala SS,7986
32932,Volkswagen,Tiguan,171
32935,BMW,7 Series,5838
32977,GMC,2500,4398
32991,Mercedes-Benz,SL-Class,5239
33043,Audi,100,1989
33049,BMW,M3,2254
33054,Mercedes-Benz,G55 AMG,4285
33060,Dodge,Ram Van 1500,7931
33080,Oldsmobile,Cutlass,3932
33088,Chrysler,Concorde,4765
33105,Mitsubishi,Tredia,1512
33149,Jaguar,XK Series,1496
33150,Mitsubishi,Lancer Evolution,2367
33151,Saab,9-3,1691
33155,Lincoln,Continental Mark VII,2675
33164,Chevrolet,Tahoe,1316
33173,Honda,CR-V,6364
33176,Foose,Hemisfear,654
33178,Land Rover,LR3,717
33181,Nissan,Maxima,4119
33187,Chevrolet,Silverado 1500,6623
33211,Pontiac,Bonneville,6933
33213,Honda,S2000,860
33229,Kia,Rio,6138
33241,GMC,Envoy XL,2363
33249,Jaguar,X-Type,6429
33257,Plymouth,Horizon,7820
33261,Mercedes-Benz,G-Class,5953
33275,Mercury,Mystique,54
33304,Volkswagen,New Beetle,4444
33320,Subaru,Legacy,5192
33334,Ford,F250,1422
33347,Audi,A4,4594
33391,Dodge,Dakota,3444
33403,Isuzu,Ascender,992
33418,Chrysler,Town & Country,3504
33423,Chevrolet,S10 Blazer,6208
33425,Infiniti,FX,7566
33443,Mercury,Tracer,1063
33443,Mercury,Sable,1460
33449,Lamborghini,Diablo,3525
33460,Ford,Taurus,3726
33471,Toyota,Tacoma,2456
33577,Jaguar,X-Type,4553
33577,Pontiac,Grand Prix Turbo,7241
33584,Buick,Riviera,4525
33620,Lotus,Exige,2429
33625,Chrysler,Town & Country,1314
33630,Cadillac,DeVille,6167
33651,Kia,Sephia,5971
33665,Honda,Insight,1184
33672,Ford,Galaxie,810
33675,Subaru,Baja,6184
33678,Nissan,240SX,5506
33686,GMC,Jimmy,1890
33687,Mitsubishi,Excel,7919
33710,Mitsubishi,3000GT,3376
33711,Dodge,Dakota Club,49
33757,BMW,M5,3296
33763,Land Rover,LR2,1508
33763,Suzuki,SJ,1509
33771,GMC,1500,5930
33773,Ford,EXP,976
33781,GMC,Sonoma Club Coupe,1852
33789,GMC,Vandura 1500,863
33856,Saturn,Aura,4289
33876,GMC,Savana 2500,1210
33886,GMC,Vandura 1500,7495
33891,Land Rover,Discovery,2764
33901,Chevrolet,Astro,3258
33901,Mercury,Lynx,6319
33902,GMC,2500,4997
33916,Jeep,Wrangler,4697
33921,Chevrolet,Express 3500,3040
33943,Mercury,Milan,1384
33950,Toyota,4Runner,6218
33974,Chevrolet,Aveo,570
33987,Toyota,Celica,1823
33998,Cadillac,Escalade EXT,7869
34020,Mercury,Grand Marquis,4123
34021,Acura,ZDX,7397
34022,Mitsubishi,Chariot,1223
34025,Jaguar,X-Type,6297
34042,Volkswagen,Golf,2610
34045,Mercedes-Benz,500SEL,2660
34046,Buick,Riviera,6879
34047,Oldsmobile,Cutlass Cruiser,3610
34091,BMW,600,3554
34096,Toyota,Tacoma Xtra,2687
34097,Volkswagen,GTI,5916
34104,Infiniti,G,6338
34109,Dodge,D150,2233
34117,GMC,Yukon XL 1500,3032
34144,Isuzu,Hombre Space,5231
34154,Isuzu,Ascender,1000
34162,Nissan,Xterra,3826
34168,Mazda,CX-9,6837
34172,Dodge,Caravan,1481
34178,Mercury,Villager,6409
34183,Dodge,Avenger,1368
34191,Audi,S6,3558
34231,Mercury,Sable,2639
34237,Chevrolet,Suburban 1500,3373
34248,Land Rover,Defender 90,4201
34278,Hummer,H1,908
34282,Chevrolet,Astro,1378
34283,Honda,Accord,318
34312,Isuzu,i-290,7827
34320,Lexus,LS,330
34332,Jaguar,S-Type,4838
34334,Mitsubishi,Outlander,5657
34347,Chevrolet,1500,5548
34365,Nissan,Maxima,4471
34387,Honda,Accord,1030
34399,Nissan,Cube,5541
34430,Nissan,Altima,3900
34459,Chevrolet,Express 2500,6334
34474,BMW,3 Series,5352
34479,Pontiac,Safari,5006
34491,Infiniti,Q,1428
34500,Cadillac,Seville,3522
34512,Ford,F-Series,5140
34520,Nissan,GT-R,5630
34527,Chrysler,Town & Country,1744
34529,Nissan,Altima,2672
34539,Chrysler,Sebring,3347
34539,Ford,Ranger,5472
34555,Mitsubishi,Chariot,82
34566,Kia,Sedona,1786
34569,Subaru,Alcyone SVX,117
34573,Saturn,VUE,6700
34584,Mercury,Grand Marquis,801
34584,Pontiac,Bonneville,2981
34585,Pontiac,LeMans,3052
34606,Acura,ZDX,767
34608,Mazda,CX-9,6041
34618,Ford,Contour,4835
34623,Cadillac,DeVille,7295
34627,Buick,LeSabre,1440
34627,Nissan,GT-R,1838
34647,Kia,Rio,1643
34650,Suzuki,Esteem,6031
34654,Mitsubishi,Diamante,6699
34668,Lincoln,MKZ,238
34669,Buick,Somerset,3092
34677,Toyota,Corolla,188
34704,Acura,MDX,5108
34723,GMC,Sonoma,7150
34738,Mercedes-Benz,GLK-Class,7849
34742,Toyota,Matrix,5922
34743,Pontiac,Torrent,5426
34751,BMW,M5,4987
34754,Subaru,B9 Tribeca,6738
34759,Volkswagen,Jetta,7472
34775,Mercury,Cougar,2753
34805,Pontiac,Tempest,2996
34811,Ford,Contour,6702
34839,Volvo,S60,2930
34841,Mercedes-Benz,W201,339
34844,Chevrolet,Camaro,5225
34858,Nissan,Pathfinder,3799
34871,Mazda,B-Series,2396
34887,Mercury,Monterey,514
34893,Bentley,Continental GTC,6186
34901,Land Rover,LR2,3914
34922,Volkswagen,Jetta,1932
34926,Land Rover,Defender,5641
34933,Honda,S2000,1969
34959,Ford,F-350 Super Duty,7730
34964,Chevrolet,Lumina,2067
34966,Mitsubishi,Diamante,1341
34974,Mitsubishi,Truck,3477
34978,Panoz,Esperante,1447
35001,MINI,Cooper,7460
35006,Mitsubishi,Eclipse,2166
35007,Toyota,Tacoma Xtra,6944
35012,Audi,A6,6638
35013,GMC,Sonoma Club Coupe,2982
35024,Buick,Regal,2826
35033,Suzuki,XL-7,3292
35037,Toyota,Camry,2742
35045,Ford,F250,2001
35049,Volkswagen,Golf,1882
35053,Lincoln,Town Car,1963
35062,Mitsubishi,Montero,56
35077,Mazda,323,2698
35085,Mazda,Mazda3,3267
35092,Nissan,Sentra,5219
35112,BMW,760,548
35116,Aptera,Typ-1,6814
35128,Dodge,Caravan,3526
35143,Chevrolet,Silverado 1500,3445
35148,Nissan,Quest,7101
35160,Chevrolet,HHR Panel,7764
35177,Mitsubishi,Excel,4235
35194,Toyota,Tercel,1288
35201,Ferrari,458 Italia,5537
35203,Dodge,Durango,134
35203,Infiniti,EX,588
35235,Nissan,Quest,3878
35236,Ford,Thunderbird,2754
35244,Cadillac,Brougham,1027
35269,Infiniti,G25,2706
35288,Scion,xD,932
35300,Chevrolet,G-Series G10,5932
35301,BMW,Alpina B7,3098
35303,Honda,Odyssey,243
35306,Hyundai,Sonata,1342
35309,Ford,F150,5211
35310,Cadillac,Escalade ESV,5677
35331,BMW,M5,7899
35376,BMW,760,4556
35378,Jaguar,XJ,7305
35390,Volkswagen,Passat,873
35397,Volvo,XC70,332
35402,Lincoln,Town Car,4771
35415,Chevrolet,Silverado 3500,2003
35420,Audi,4000s,388
35430,Subaru,Loyale,3371
35435,Pontiac,Grand Am,2119
35438,Acura,CL,6388
35469,GMC,Sierra,6408
35476,Jeep,Wrangler,2314
35479,Pontiac,Torrent,1967
35499,Dodge,Ram Van 3500,7627
35511,Chevrolet,Monte Carlo,3002
35516,Ford,Aerostar,4433
35522,Chrysler,Pacifica,7223
35524,Mercedes-Benz,SLK-Class,7418
35534,GMC,Sierra 3500HD,1152
35536,Ford,Aerostar,1971
35546,Chrysler,Town & Country,903
35559,Lamborghini,Murciélago,7079
35618,GMC,Savana 2500,7405
35619,Ford,Escort,7156
35631,Mitsubishi,Diamante,2887
35632,Mitsubishi,Pajero,5157
35641,Volkswagen,Golf,7508
35644,Lincoln,MKX,4406
35650,Suzuki,Swift,141
35673,GMC,Savana 1500,501
35692,Maserati,Spyder,276
35710,Mitsubishi,i-MiEV,4491
35711,Volkswagen,Passat,6036
35718,Infiniti,G,6848
35721,Toyota,Tacoma Xtra,5398
35734,BMW,X5,1435
35760,Buick,Hearse,4760
35779,Mitsubishi,Pajero,3991
35784,Lamborghini,Murciélago,7464
35854,Nissan,Pathfinder,6592
35857,Volkswagen,New Beetle,4642
35865,Volkswagen,Passat,4741
35873,Ford,Crown Victoria,3330
35875,Toyota,4Runner,5291
35878,Infiniti,Q,6605
35881,Hyundai,Azera,2495
35906,Hummer,H2 SUT,6547
35927,Cadillac,Fleetwood,4246
35933,Volkswagen,Touareg,1049
35939,Nissan,Sentra,7133
35954,Cadillac,Seville,7950
35964,Ford,ZX2,4245
35969,Buick,Roadmaster,7718
36014,Subaru,Impreza,7840
36023,BMW,6 Series,6707
36028,Mitsubishi,Mirage,4422
36076,Ford,F-Series Super Duty,423
36082,Audi,Q5,3346
36083,Chevrolet,3500,7398
36086,Kia,Sorento,3111
36086,Plymouth,Grand Voyager,7362
36090,Scion,xB,6013
36121,Cadillac,DeVille,1650
36130,Mitsubishi,Diamante,6343
36136,Chevrolet,G-Series 1500,3720
36140,Nissan,Murano,2049
36195,Buick,Enclave,7494
36231,Chevrolet,Colorado,6899
36238,Mercedes-Benz,E-Class,1079
36239,Mitsubishi,Montero Sport,6507
36242,Volkswagen,Touareg 2,5068
36256,Mercedes-Benz,300SD,1130
36263,Suzuki,Daewoo Lacetti,1645
36270,Honda,Passport,6115
36302,Pontiac,LeMans,5575
36303,Dodge,Ram 3500,759
36307,Hyundai,Elantra,1290
36307,Mercedes-Benz,300SD,5896
36319,Kia,Sportage,471
36319,Mercury,Cougar,3060
36339,Volkswagen,Eos,5825
36341,Chevrolet,2500,1462
36342,Ford,EXP,5967
36347,Mazda,626,18
36354,Volkswagen,Fox,4802
36401,Audi,Q7,2507
36417,Chevrolet,G-Series 3500,6558
36425,Suzuki,Kizashi,2167
36431,Volvo,C70,459
36432,Toyota,Tacoma,6215
36456,Ford,Explorer Sport,597
36465,Lexus,RX,4590
36497,Mitsubishi,Montero,3785
36517,Jaguar,XK Series,5092
36520,Bentley,Continental GT,1066
36522,Plymouth,Acclaim,2267
36528,Acura,RSX,6851
36529,Nissan,350Z,6494
36552,Chevrolet,Corvette,7716
36562,Chevrolet,Express 1500,6356
36601,Suzuki,Swift,4259
36629,Hyundai,Tiburon,6035
36638,Ford,F250,6822
36642,Toyota,4Runner,7192
36667,Mercury,Cougar,2717
36682,Toyota,Prius v,6614
36688,Lexus,GX,2075
36695,GMC,Sonoma,3549
36698,Lexus,LX,1518
36698,Chevrolet,Suburban 2500,4624
36713,Ford,Bronco,3467
36724,Aston Martin,DBS,4443
36736,Aston Martin,DBS,1763
36753,Pontiac,6000,549
36759,Mercedes-Benz,400SEL,1333
36775,Mitsubishi,Diamante,321
36788,Ford,F-Series,5284
36803,Cadillac,Escalade,3169
36808,GMC,Safari,6465
36813,Hyundai,XG350,2262
36832,GMC,Yukon XL 2500,4085
36833,Chrysler,Sebring,5107
36836,Jeep,Grand Cherokee,2432
36853,Ford,Escort,2029
36855,Mercury,Marquis,1726
36866,Mazda,Mazda5,7070
36880,Volkswagen,GTI,509
36899,Chevrolet,Camaro,241
36906,Subaru,Legacy,7751
36907,Saturn,S-Series,2636
36920,BMW,Z4,944
36953,Dodge,Dakota Club,745
36967,Subaru,Legacy,4177
36974,Honda,Pilot,862
36980,Honda,Prelude,7868
36993,Ford,E-Series,3704
36996,Lexus,GX,6209
37005,Subaru,Legacy,7951
37019,BMW,M3,3234
37030,Audi,TT,3947
37038,Dodge,Caliber,5145
37042,Hyundai,Genesis,3377
37052,Mitsubishi,Challenger,4280
37052,Toyota,Celica,7147
37057,Audi,200,7793
37058,Hummer,H1,4853
37061,Dodge,Stealth,4960
37065,Jaguar,S-Type,3544
37080,Audi,A8,1713
37101,Toyota,Matrix,7824
37107,Dodge,Neon,6806
37111,Chevrolet,Colorado,4585
37151,Mercedes-Benz,GL-Class,5941
37155,BMW,Z4 M Roadster,431
37157,Chevrolet,Uplander,3252
37162,Lamborghini,Gallardo,125
37171,Nissan,Versa,422
37172,BMW,550,4007
37177,Cadillac,DeVille,3977
37193,Chevrolet,Camaro,7229
37205,Mazda,Mazda3,4561
37212,Dodge,Dakota,5938
37220,Plymouth,Fury,694
37250,Mercury,Sable,2516
37281,Volvo,C70,7529
37300,Isuzu,Oasis,6867
37331,BMW,Alpina B7,293
37335,Pontiac,LeMans,78
37347,Cadillac,Escalade ESV,7724
37349,Chrysler,300,2637
37353,Pontiac,1000,6087
37367,Mazda,Mazda6,2578
37370,Toyota,Land Cruiser,3527
37382,BMW,X6,4125
37400,Mercedes-Benz,190E,6006
37410,Lexus,IS,5457
37427,Plymouth,Grand Voyager,2466
37434,Mercury,Grand Marquis,3269
37449,Pontiac,Grand Prix,1748
37467,Pontiac,Grand Prix Turbo,6174
37491,Volvo,S80,5473
37498,Nissan,Murano,4092
37514,Chevrolet,Volt,879
37524,Mercury,Grand Marquis,1087
37527,Volkswagen,Scirocco,4733
37547,Mitsubishi,Endeavor,4242
37578,Hyundai,Sonata,7942
37583,Bentley,Brooklands,129
37585,Chevrolet,Traverse,2082
37587,Ram,1500,2730
37605,Isuzu,VehiCROSS,3225
37624,Kia,Sedona,4383
37627,Saab,9-5,3440
37632,Mercedes-Benz,300E,4261
37633,Ford,E350,3675
37640,Mercury,Sable,4573
37659,Cadillac,Escalade ESV,448
37662,GMC,Sierra Hybrid,2710
37706,Buick,Riviera,7257
37714,Plymouth,Laser,1598
37718,GMC,Yukon XL 2500,3491
37721,Jeep,Cherokee,4217
37730,Chrysler,Sebring,3824
37730,Toyota,Camry,3874
37758,Ford,F250,6253
37782,Ford,F250,4664
37802,BMW,760,6366
37812,Mitsubishi,3000GT,5656
37817,Ford,Explorer,6049
37819,Mitsubishi,Galant,1925
37825,Honda,Odyssey,2392
37831,BMW,M3,6220
37835,Mitsubishi,Lancer Evolution,3086
37849,Volkswagen,New Beetle,7814
37856,Pontiac,Grand Prix,7715
37857,Acura,TSX,2060
37857,Volkswagen,Passat,3663
37862,Bentley,Azure,4977
37864,Mitsubishi,Galant,3454
37866,Volvo,XC60,6011
37868,Saturn,L-Series,3108
37926,Chevrolet,K5 Blazer,6710
37927,Citroën,SM,4529
37963,Honda,Fit,7742
37970,BMW,645,4972
37977,Nissan,Titan,5573
38010,Mercury,Villager,7358
38013,Dodge,Durango,4346
38014,Mercedes-Benz,SLR McLaren,435
38019,Dodge,Ram 1500,3375
38021,Dodge,Ram 1500 Club,4647
38031,Mercedes-Benz,CL-Class,589
38055,Lamborghini,Countach,2510
38058,Hyundai,HED-5,7598
38069,Ford,Thunderbird,5218
38096,Chevrolet,1500,2279
38104,BMW,M5,5307
38119,Suzuki,SJ,5808
38135,Mercedes-Benz,SL-Class,3789
38146,Mitsubishi,Montero,6194
38148,Hummer,H1,4496
38152,Mazda,B-Series,6858
38155,Lexus,GS,3631
38186,Mitsubishi,Outlander,3774
38193,Chevrolet,Caprice,1984
38197,Maybach,62,5114
38202,Toyota,4Runner,4303
38211,Jeep,Wrangler,7164
38222,Dodge,Avenger,3356
38223,Ferrari,599 GTB Fiorano,4783
38275,Toyota,Highlander,6692
38280,Audi,A3,574
38288,Dodge,Charger,4191
38310,Chevrolet,Prizm,7348
38329,Hyundai,Veracruz,5359
38342,BMW,M5,7526
38354,Mercedes-Benz,S-Class,4332
38372,GMC,Jimmy,4510
38388,Suzuki,Swift,7669
38392,Lexus,ES,5004
38395,Infiniti,I,5203
38414,BMW,Z4,5063
38416,Lexus,LS,2809
38430,Nissan,Sentra,2346
38446,Citroën,SM,6755
38448,Infiniti,I,5275
38448,Oldsmobile,Alero,7129
38457,Dodge,Colt,4080
38462,Mitsubishi,Galant,2856
38475,Plymouth,Horizon,7457
38491,Plymouth,Grand Voyager,7630
38512,BMW,X5,3423
38523,Lexus,RX Hybrid,7761
38524,Dodge,Charger,5622
38558,Land Rover,Freelander,5688
38559,Mitsubishi,Mirage,139
38582,Nissan,Sentra,4228
38588,Oldsmobile,Intrigue,3396
38600,GMC,3500,1870
38615,Lexus,SC,6967
38619,Lexus,SC,3519
38631,Honda,Odyssey,990
38644,BMW,X6,4479
38646,Ford,Ranger,5025
38664,Ford,Laser,5924
38695,Mazda,RX-8,3597
38696,Mazda,RX-7,1936
38701,BMW,X5 M,2989
38704,Tesla,Roadster,2824
38706,Ford,F-250 Super Duty,3975
38713,Subaru,Impreza,7597
38728,Volvo,S80,170
38737,Aston Martin,V8 Vantage,786
38741,Volvo,S80,1014
38752,Pontiac,Grand Prix,6459
38765,Lincoln,Town Car,511
38823,Lincoln,Navigator,6493
38829,Volkswagen,Eurovan,3096
38843,Kia,Spectra,3578
38846,Volvo,850,6542
38850,Porsche,Boxster,3876
38854,Chevrolet,Volt,1038
38881,Dodge,Intrepid,6955
38885,Honda,Accord,2739
38908,Chevrolet,Camaro,3010
38911,Scion,xB,3590
38911,Honda,Ridgeline,6342
38913,Pontiac,Vibe,2751
38913,Chevrolet,Tahoe,6445
38928,Ford,Taurus,6915
38941,Chevrolet,Sportvan G30,5432
39037,Volkswagen,Type 2,4880
39039,Lotus,Esprit Turbo,1803
39063,Chrysler,Sebring,6842
39069,Chrysler,Town & Country,7534
39075,Ford,Probe,618
39081,Ford,F-Series Super Duty,6452
39087,Chevrolet,Prizm,1250
39095,Infiniti,M,533
39097,MINI,Cooper Clubman,80
39126,Toyota,Sienna,788
39132,Volkswagen,Eurovan,5629
39139,Dodge,Sprinter,43
39151,Ram,C/V,5066
39181,Nissan,Titan,2896
39200,Buick,Lucerne,1484
39216,Dodge,Ram 1500,1037
39218,Mercury,Mountaineer,3436
39257,Acura,RL,3830
39288,Maserati,Quattroporte,603
39312,GMC,Suburban 1500,7483
39341,Mitsubishi,Chariot,4623
39344,Mazda,CX-7,4714
39345,Acura,TL,7496
39376,Chevrolet,Malibu,5748
39389,Mercury,Grand Marquis,2948
39423,Ford,Contour,466
39426,Pontiac,Grand Prix,4442
39426,Lincoln,Town Car,7843
39432,Toyota,Corolla,1040
39450,Ford,F-Series,3812
39469,Mazda,Miata MX-5,838
39481,Chevrolet,Avalanche 1500,444
39489,Lincoln,Navigator L,5305
39494,Maserati,Spyder,7940
39497,Bentley,Continental Flying Spur,3192
39514,Mercedes-Benz,E-Class,7709
39518,Suzuki,Grand Vitara,1104
39520,Chevrolet,Lumina,6919
39522,Volkswagen,GTI,111
39522,Mazda,Mazda6 5-Door,1896
39525,Ford,Aerostar,587
39537,Lincoln,Town Car,1690
39541,Subaru,Forester,2694
39545,GMC,Yukon XL 2500,6233
39546,Toyota,MR2,4392
39548,BMW,3 Series,4349
39579,Honda,Ridgeline,4616
39586,BMW,Z4 M,3438
39596,Mercury,Milan,1695
39599,Nissan,Frontier,7076
39608,Mitsubishi,Tredia,3003
39610,Toyota,Tundra,1798
39624,Lincoln,Navigator L,4128
39638,Subaru,Impreza,3063
39644,Saab,9-2X,6455
39652,Ford,Mustang,5065
39673,Dodge,Ram Van B250,1992
39675,Buick,Riviera,482
39686,Ford,F-Series Super Duty,5206
39696,BMW,1 Series,5075
39715,Dodge,Avenger,7905
39717,Dodge,Grand Caravan,6197
39733,Mitsubishi,Cordia,1057
39748,Dodge,Dakota,7550
39755,Mercury,Villager,3917
39756,Chevrolet,Caprice,2793
39765,Pontiac,Bonneville,4040
39771,Infiniti,QX,5818
39801,Mercury,Marauder,5247
39803,Mitsubishi,Precis,6753
39820,Buick,Century,5030
39826,GMC,3500 Club Coupe,676
39827,Kia,Rio,3237
39835,Chevrolet,Malibu,1181
39837,Toyota,Tacoma Xtra,5531
39841,Mazda,Navajo,6554
39842,Isuzu,Trooper,3494
39843,Ram,3500,640
39848,Suzuki,Aerio,3129
39858,Porsche,Boxster,6229
39866,MINI,Cooper Clubman,5790
39866,Chevrolet,Astro,7410
39902,Mercury,Grand Marquis,7673
39914,Dodge,Intrepid,7186
39962,Plymouth,Colt,3340
39979,Dodge,Caravan,3186
39994,Mitsubishi,Challenger,1444
40017,Land Rover,Range Rover Sport,2358
40037,Ford,Escape,2292
40040,Nissan,Altima,3422
40041,GMC,Sierra 1500,3251
40045,Toyota,Camry Hybrid,1782
40050,Pontiac,Trans Sport,925
40056,Audi,Q7,3232
40078,Chrysler,Pacifica,3028
40079,Ford,F150,3599
40085,Buick,Park Avenue,1620
40085,BMW,8 Series,6966
40090,Ford,F-Series,1966
40090,Chevrolet,Express 2500,6633
40091,Studebaker,Avanti,3571
40095,Lincoln,Navigator,3163
40099,Ford,F150,1980
40105,Nissan,240SX,2308
40136,Audi,V8,3920
40142,Infiniti,FX,674
40187,GMC,Yukon,6730
40190,Land Rover,Discovery,6262
40221,Chevrolet,Malibu,6266
40231,Dodge,Sprinter,3095
40234,Kia,Sedona,5244
40242,GMC,Rally Wagon 2500,2626
40250,Oldsmobile,Ciera,1214
40251,Audi,RS 6,5857
40254,Dodge,Daytona,3962
40259,Ford,F350,5251
40259,Chevrolet,Aveo,6086
40267,Dodge,Colt,6694
40285,Dodge,Ram Van B350,6807
40308,Hyundai,Tiburon,6410
40308,Ford,Contour,7126
40313,Pontiac,Fiero,1623
40327,Mercury,Tracer,1906
40330,Subaru,Justy,290
40331,Chevrolet,Corvette,5364
40374,Mazda,Protege5,306
40384,Honda,del Sol,3048
40396,Porsche,911,7848
40408,Lexus,GS,4981
40411,Lincoln,LS,232
40421,Subaru,Impreza WRX,7013
40441,Infiniti,QX,4110
40461,Pontiac,Turbo Firefly,3140
40493,Nissan,Pathfinder,7432
40525,Dodge,Ram 1500,617
40528,Saab,900,2958
40529,Hyundai,Tiburon,58
40541,Mazda,Familia,7055
40546,GMC,Envoy,790
40555,Infiniti,QX56,6973
40567,Ford,Taurus,6121
40575,Chevrolet,Corsica,6715
40587,Jeep,Wrangler,4523
40592,Nissan,Quest,4947
40594,Mazda,MX-5,1050
40617,Dodge,Grand Caravan,5104
40633,Volkswagen,Touareg,6211
40649,Oldsmobile,Ciera,1305
40682,Subaru,Forester,4268
40687,Chevrolet,Tahoe,2033
40728,Mazda,Navajo,4042
40732,Ford,EXP,2140
40744,Mercury,Grand Marquis,4764
40745,Audi,V8,5950
40746,Chrysler,Town & Country,5073
40754,GMC,3500,346
40755,Honda,Civic,7294
40764,Infiniti,Q,6207
40771,Mercury,Tracer,1530
40777,Maybach,57,370
40809,Subaru,SVX,1768
40820,Ford,F-Series,3952
40852,Nissan,200SX,6477
40854,Hyundai,Azera,1322
40883,Acura,RDX,386
40894,GMC,Sonoma,7261
40902,Lamborghini,Diablo,5008
40915,Ford,Ranger,3502
40940,Mazda,MX-6,6234
40944,Oldsmobile,LSS,538
40951,Aston Martin,V8 Vantage,440
40954,Jeep,Compass,6684
40981,Chevrolet,HHR,6104
40986,Hyundai,Tucson,1735
40991,Chevrolet,Express 2500,6273
40999,Ford,Courier,3536
41014,GMC,Terrain,4773
41047,Land Rover,Range Rover Evoque,5043
41048,Saturn,VUE,783
41048,Saturn,VUE,3563
41056,Lexus,RX,529
41071,Ford,Escape,2388
41071,Mazda,B-Series Plus,3351
41072,Chevrolet,Silverado,6032
41093,Buick,Skyhawk,5454
41114,Volvo,V50,7304
41132,Chevrolet,G-Series G20,2274
41139,Subaru,Outback,5122
41143,Chevrolet,Suburban 1500,2442
41153,Porsche,Cayman,2202
41169,Lincoln,Continental,5242
41176,Mitsubishi,Excel,3425
41196,Lotus,Esprit,74
41227,Buick,LaCrosse,137
41227,Ford,F-Series,5493
41233,Toyota,Tundra,5803
41239,Dodge,Dakota Club,3410
41278,Chevrolet,3500,1291
41292,Mazda,Tribute,3182
41307,Tesla,Roadster,1319
41314,GMC,Safari,7143
41323,Infiniti,IPL G,1917
