integer-1,decimal-1,decimal-1,decimal-1
4793,12.00,20373.48,0.01
4822,5.00,8634.10,0.00
4827,4.00,6927.28,0.02
4830,12.00,20817.96,0.05
4864,23.00,40683.78,0.03
4865,13.00,23008.18,0.02
4865,27.00,47786.22,0.05
4929,28.00,51349.76,0.03
4962,13.00,24270.48,0.09
4968,16.00,29967.36,0.04
5039,25.00,23600.75,0.03
5195,2.00,2200.38,0.09
5201,20.00,22124.00,0.00
5338,13.00,16163.29,0.04
5531,17.00,24421.01,0.10
5650,30.00,46669.50,0.00
5713,21.00,33992.91,0.02
5783,6.00,10132.68,0.08
5801,11.00,18774.80,0.03
5829,20.00,34696.40,0.09
5872,23.00,40891.01,0.03
5933,6.00,11033.58,0.09
5975,10.00,18809.70,0.02
5981,5.00,9434.90,0.09
6024,21.00,19530.42,0.08
6083,12.00,11868.96,0.08
6099,23.00,23117.07,0.06
6151,25.00,26428.75,0.04
6206,12.00,13346.40,0.09
6223,16.00,18067.52,0.04
6251,25.00,28931.25,0.01
6257,18.00,20938.50,0.07
6280,21.00,24911.88,0.04
6291,12.00,14367.48,0.10
6296,4.00,4809.16,0.10
6301,17.00,20524.10,0.01
6320,17.00,20847.44,0.05
6321,9.00,11045.88,0.10
6329,21.00,25941.72,0.07
6336,15.00,18634.95,0.07
6361,27.00,34218.72,0.06
6477,2.00,2766.94,0.00
6580,16.00,23785.28,0.07
6584,29.00,43226.82,0.09
6597,11.00,16539.49,0.08
6598,8.00,12036.72,0.09
6613,30.00,45588.30,0.00
6678,25.00,39616.75,0.08
6743,20.00,32994.80,0.09
6792,22.00,37373.38,0.05
6895,7.00,12613.23,0.10
6962,18.00,33641.28,0.05
7127,4.00,4136.48,0.09
7151,8.00,8465.20,0.03
7187,26.00,28448.68,0.02
7262,19.00,22215.94,0.08
7269,19.00,22348.94,0.00
7273,21.00,24785.67,0.03
7288,19.00,22710.32,0.05
7304,9.00,10901.70,0.03
7350,28.00,35205.80,0.09
7370,13.00,16605.81,0.08
7566,11.00,16209.16,0.02
7621,29.00,44329.98,0.01
7631,21.00,32311.23,0.03
7731,29.00,47523.17,0.03
7747,28.00,46332.72,0.09
7748,9.00,14901.66,0.00
7760,3.00,5003.28,0.07
7789,14.00,23754.92,0.05
7852,13.00,22878.05,0.03
7999,2.00,3813.98,0.02
8025,10.00,9330.20,0.06
8045,9.00,8577.36,0.09
8171,2.00,2158.34,0.07
8198,27.00,29867.13,0.04
8236,4.00,4576.92,0.01
8358,22.00,27859.70,0.07
8368,13.00,16592.68,0.07
8384,29.00,37479.02,0.05
8402,15.00,19656.00,0.02
8454,24.00,32698.80,0.02
8609,13.00,19728.80,0.10
8618,4.00,6106.44,0.00
8677,21.00,33299.07,0.00
8805,23.00,39417.40,0.08
8806,29.00,49729.20,0.01
8831,15.00,26097.45,0.07
8835,12.00,20925.96,0.09
8884,3.00,5378.64,0.10
8885,13.00,23320.44,0.05
8900,29.00,52458.10,0.00
8905,6.00,10883.40,0.09
9005,4.00,3656.00,0.03
9059,3.00,2904.15,0.09
9061,15.00,14550.90,0.07
9062,24.00,23305.44,0.01
9101,15.00,15151.50,0.07
9112,8.00,8168.88,0.00
9118,28.00,28759.08,0.08
9195,4.00,4416.76,0.02
9235,9.00,10298.07,0.00
9266,20.00,23505.20,0.05
9268,26.00,30608.76,0.02
9285,15.00,17914.20,0.01
9295,17.00,20472.93,0.09
9342,3.00,3754.02,0.08
9369,16.00,20453.76,0.01
9391,21.00,27308.19,0.08
9399,15.00,19625.85,0.03
9434,29.00,38959.47,0.10
9439,1.00,1348.43,0.10
9469,23.00,31704.58,0.09
9500,16.00,22552.00,0.00
9506,8.00,11324.00,0.04
9508,23.00,32602.50,0.10
9552,9.00,13153.95,0.00
9587,17.00,25441.86,0.08
9619,11.00,16814.71,0.02
9657,18.00,28199.70,0.03
9679,21.00,33362.07,0.05
9749,1.00,1658.74,0.04
9772,28.00,47089.56,0.09
9804,25.00,42845.00,0.02
9900,27.00,48867.30,0.01
9903,29.00,52574.10,0.06
10030,5.00,4700.15,0.10
10071,19.00,18640.33,0.04
10072,30.00,29462.10,0.03
10125,24.00,24842.88,0.09
10205,15.00,16728.00,0.05
10264,22.00,25833.72,0.05
10329,2.00,2478.64,0.07
10372,13.00,16670.81,0.05
10416,9.00,11937.69,0.05
10426,22.00,29401.24,0.10
10431,22.00,29511.46,0.01
10448,3.00,4075.32,0.05
10478,9.00,12496.23,0.03
10528,6.00,8631.12,0.06
10580,8.00,11924.64,0.09
10626,26.00,39952.12,0.00
10699,28.00,45071.32,0.10
10701,19.00,30622.30,0.08
10702,4.00,6450.80,0.10
10705,23.00,37161.10,0.04
10829,2.00,3479.64,0.10
10834,30.00,52344.90,0.02
10877,6.00,10727.22,0.08
10879,17.00,30427.79,0.08
10894,29.00,52341.81,0.02
10965,11.00,20635.56,0.08
10989,5.00,9499.90,0.06
10994,18.00,34289.82,0.05
11029,29.00,27260.58,0.02
11166,14.00,15080.24,0.08
11242,23.00,26524.52,0.06
11259,1.00,1170.25,0.01
11280,5.00,5956.40,0.06
11300,24.00,29071.20,0.03
11349,26.00,32768.84,0.09
11390,29.00,37740.31,0.10
11427,23.00,30783.66,0.08
11459,29.00,39743.05,0.02
11479,23.00,31980.81,0.09
11489,5.00,7002.40,0.04
11493,6.00,8426.94,0.07
11500,20.00,28230.00,0.02
11544,14.00,20377.56,0.10
11549,1.00,1460.54,0.01
11580,21.00,31323.18,0.02
11627,28.00,43081.36,0.03
11641,10.00,15526.40,0.04
11668,17.00,26854.22,0.06
11680,10.00,15916.80,0.00
11683,24.00,38272.32,0.09
11731,25.00,41068.25,0.05
11850,25.00,44046.25,0.07
11932,2.00,3687.86,0.05
11942,1.00,1853.94,0.02
12007,19.00,17461.00,0.01
12141,7.00,7371.98,0.10
12141,10.00,10531.40,0.08
12204,23.00,25672.60,0.01
12205,9.00,10054.80,0.03
12205,6.00,6703.20,0.10
12209,22.00,24666.40,0.00
12211,11.00,12355.31,0.06
12309,24.00,29311.20,0.07
12366,13.00,16618.68,0.00
12383,1.00,1295.38,0.03
12386,6.00,7790.28,0.06
12421,16.00,21334.72,0.07
12421,22.00,29335.24,0.10
12544,7.00,10195.78,0.10
12552,13.00,19039.15,0.01
12638,4.00,6202.52,0.08
12733,24.00,39497.52,0.06
12742,24.00,39713.76,0.06
12881,24.00,43053.12,0.01
12943,7.00,12991.58,0.06
12992,21.00,40004.79,0.08
12993,3.00,5717.97,0.03
13050,3.00,2889.15,0.09
13064,23.00,22472.38,0.08
13085,8.00,7984.64,0.03
13112,2.00,2050.22,0.10
13130,4.00,4172.52,0.02
13176,13.00,14159.21,0.09
13202,20.00,22304.00,0.10
13208,19.00,21302.80,0.05
13220,25.00,28330.50,0.03
13285,25.00,29957.00,0.10
13321,15.00,18514.80,0.10
13325,2.00,2476.64,0.07
13331,2.00,2488.66,0.04
13367,16.00,20485.76,0.00
13371,21.00,26971.77,0.02
13394,22.00,28762.58,0.00
13403,1.00,1316.40,0.06
13436,22.00,29687.46,0.10
13619,20.00,30652.20,0.01
13708,23.00,37299.10,0.07
13731,2.00,3289.46,0.02
13747,21.00,34875.54,0.10
13778,24.00,40602.48,0.07
13940,12.00,22247.28,0.07
13970,10.00,18839.70,0.07
13971,13.00,24504.61,0.04
13975,7.00,13222.79,0.10
14025,9.00,8451.18,0.00
14075,12.00,11868.84,0.01
14160,26.00,27928.16,0.04
14160,3.00,3222.48,0.08
14272,12.00,14235.24,0.07
14292,20.00,24125.80,0.01
14366,6.00,7682.16,0.01
14395,19.00,24878.41,0.03
14450,17.00,23195.65,0.06
14591,8.00,12044.72,0.05
14634,8.00,12389.04,0.03
14710,25.00,40617.75,0.02
14712,16.00,26027.36,0.05
14733,10.00,16477.30,0.08
14742,24.00,39761.76,0.08
14760,21.00,35169.96,0.01
14808,18.00,31010.40,0.03
14838,20.00,35056.60,0.06
14849,19.00,33512.96,0.04
14852,20.00,35337.00,0.06
14861,11.00,19534.46,0.08
14862,27.00,47975.22,0.10
14924,17.00,31261.64,0.01
14936,6.00,11105.58,0.01
14991,8.00,15247.92,0.10
15028,7.00,6601.14,0.01
15100,28.00,28422.80,0.05
15101,12.00,12193.20,0.03
15185,30.00,33005.40,0.06
15188,6.00,6619.08,0.02
15228,20.00,22864.40,0.06
15230,1.00,1145.23,0.00
15239,30.00,34626.90,0.10
15248,21.00,24428.04,0.02
15256,6.00,7027.50,0.10
15274,13.00,15460.51,0.06
15276,15.00,17869.05,0.00
15323,1.00,1238.32,0.00
15394,1.00,1309.39,0.07
15406,26.00,34356.40,0.00
15447,22.00,29973.68,0.03
15462,4.00,5509.84,0.07
15466,17.00,23484.82,0.02
15688,22.00,35280.96,0.10
15704,24.00,38872.80,0.04
15750,27.00,44975.25,0.09
15886,18.00,32433.84,0.02
15892,9.00,16271.01,0.08
15895,23.00,41650.47,0.07
15899,4.00,7259.56,0.02
15924,15.00,27598.80,0.01
15979,1.00,1894.97,0.09
16020,22.00,20592.44,0.02
16030,9.00,8514.27,0.09
16032,20.00,18960.60,0.10
16039,26.00,24830.78,0.10
16063,24.00,23497.44,0.05
16070,27.00,26623.89,0.02
16080,5.00,4980.40,0.07
16086,3.00,3006.24,0.08
16128,26.00,27147.12,0.04
16151,21.00,22410.15,0.09
16212,17.00,19179.57,0.05
16216,9.00,10189.89,0.09
16235,20.00,23024.60,0.06
16327,1.00,1243.32,0.02
16359,13.00,16579.55,0.08
16365,12.00,15376.32,0.07
16412,7.00,9298.87,0.02
16465,23.00,31773.58,0.03
16489,24.00,33731.52,0.07
16523,11.00,15834.72,0.00
16631,17.00,26309.71,0.03
16701,1.00,1617.70,0.01
16726,6.00,9856.32,0.04
16786,7.00,11919.46,0.10
16800,22.00,37769.60,0.02
16836,6.00,10516.98,0.01
16848,18.00,31767.12,0.00
16855,21.00,37208.85,0.08
16930,1.00,1846.93,0.06
16945,2.00,3723.88,0.02
17049,2.00,1932.08,0.03
17074,11.00,10901.77,0.08
17088,8.00,8040.64,0.07
17097,26.00,26366.34,0.05
17110,21.00,21569.31,0.00
17119,7.00,7252.77,0.07
17128,26.00,27173.12,0.06
17128,28.00,29263.36,0.09
17144,19.00,20161.66,0.05
17347,20.00,25286.80,0.02
17508,24.00,34212.00,0.00
17628,20.00,30912.40,0.02
17798,10.00,17157.90,0.08
17813,1.00,1730.81,0.07
17842,17.00,29917.28,0.04
17855,26.00,46094.10,0.10
17888,2.00,3611.76,0.10
17928,3.00,5537.76,0.02
17931,2.00,3697.86,0.08
18008,17.00,15742.00,0.10
18026,24.00,22656.48,0.07
18088,23.00,23139.84,0.08
18123,9.00,9370.08,0.07
18141,26.00,27537.64,0.05
18154,11.00,11793.65,0.06
18162,9.00,9721.44,0.10
18189,28.00,31001.04,0.07
18206,9.00,10117.80,0.03
18242,8.00,9281.92,0.04
18248,23.00,26823.52,0.02
18306,24.00,29383.20,0.06
18361,10.00,12793.60,0.08
18414,23.00,30645.43,0.04
18433,10.00,13514.30,0.06
18462,10.00,13804.60,0.03
18468,8.00,11091.68,0.09
18479,25.00,34936.75,0.08
18511,24.00,34308.24,0.04
18513,1.00,1431.51,0.08
18562,9.00,13325.04,0.09
18599,9.00,13658.31,0.09
18599,30.00,45527.70,0.05
18645,26.00,40654.64,0.04
18657,5.00,7878.25,0.10
18724,9.00,14784.48,0.07
18786,5.00,8523.90,0.06
18807,3.00,5177.40,0.07
18809,19.00,32828.20,0.10
19105,2.00,2048.20,0.00
19107,25.00,25652.50,0.00
19126,29.00,30308.48,0.07
19138,25.00,26428.25,0.00
19224,19.00,21721.18,0.10
19293,17.00,20608.93,0.05
19295,26.00,31571.54,0.10
19360,15.00,19190.40,0.04
19397,16.00,21062.24,0.02
19428,29.00,39075.18,0.03
19432,11.00,14865.73,0.08
19439,10.00,13584.30,0.10
19495,22.00,31118.78,0.06
19515,5.00,7172.55,0.10
19535,1.00,1454.53,0.04
19560,5.00,7397.80,0.06
19602,28.00,42604.80,0.07
19649,20.00,31372.80,0.02
19717,11.00,18003.81,0.02
19735,12.00,19856.76,0.10
19752,6.00,10030.50,0.05
19790,19.00,32486.01,0.06
19791,11.00,18818.69,0.05
19831,10.00,17508.30,0.03
19840,22.00,38716.48,0.06
19902,10.00,18219.00,0.08
26,12.00,11112.24,0.09
129,18.00,18524.16,0.08
170,5.00,5350.85,0.02
178,14.00,15094.38,0.08
187,15.00,16307.70,0.09
246,11.00,12608.64,0.02
249,23.00,26432.52,0.03
255,15.00,17328.75,0.05
268,26.00,30374.76,0.00
276,11.00,12938.97,0.04
280,27.00,31867.56,0.06
345,20.00,24906.80,0.08
386,22.00,28300.36,0.06
455,8.00,10843.60,0.09
499,24.00,33587.76,0.09
515,7.00,9908.57,0.06
521,8.00,11372.16,0.06
532,24.00,34380.72,0.01
575,15.00,22133.55,0.01
615,25.00,37890.25,0.03
623,4.00,6094.48,0.04
630,29.00,44388.27,0.04
703,10.00,16037.00,0.07
740,15.00,24611.10,0.01
748,4.00,6594.96,0.02
762,17.00,28266.92,0.08
822,1.00,1722.82,0.06
826,29.00,50077.78,0.05
878,28.00,49808.36,0.00
878,17.00,30240.79,0.01
888,27.00,48299.76,0.06
918,26.00,47291.66,0.09
977,23.00,43193.31,0.02
1018,14.00,12866.14,0.08
1037,6.00,5628.18,0.09
1088,18.00,17803.44,0.01
1129,2.00,2060.24,0.02
1172,10.00,10731.70,0.03
1179,5.00,5400.85,0.09
1197,28.00,30749.32,0.07
1215,5.00,5581.05,0.10
1306,12.00,14487.60,0.04
1372,12.00,15280.44,0.06
1389,8.00,10323.04,0.09
1441,6.00,8054.64,0.02
1510,30.00,42345.30,0.01
1533,11.00,15779.83,0.01
1567,7.00,10279.92,0.10
1610,8.00,12092.88,0.10
1640,1.00,1541.64,0.10
1664,8.00,12525.28,0.07
1681,22.00,34818.96,0.07
1723,15.00,24370.80,0.04
1817,13.00,22344.53,0.05
1821,3.00,5168.46,0.04
1829,26.00,45001.32,0.05
1854,18.00,31605.30,0.04
1936,2.00,3675.86,0.03
1936,9.00,16541.37,0.03
1996,4.00,7591.96,0.02
2003,13.00,11765.00,0.03
2022,4.00,3696.08,0.01
2029,10.00,9310.20,0.04
2092,11.00,10934.99,0.06
2129,21.00,21653.52,0.06
2189,16.00,17458.88,0.08
2204,22.00,24336.40,0.06
2274,4.00,4705.08,0.00
2358,9.00,11343.15,0.08
2434,14.00,18710.02,0.09
2447,3.00,4048.32,0.04
2453,8.00,10843.60,0.03
2462,15.00,20466.90,0.10
2487,13.00,18063.24,0.05
2519,18.00,25587.18,0.02
2577,8.00,11836.56,0.09
2599,9.00,13514.31,0.00
2687,12.00,19076.16,0.09
2698,10.00,16006.90,0.08
2755,10.00,16577.50,0.02
2766,18.00,30037.68,0.03
2796,28.00,47566.12,0.04
2813,27.00,46326.87,0.09
2814,18.00,30902.58,0.01
2917,29.00,52777.39,0.04
3075,6.00,5868.42,0.09
3082,14.00,13791.12,0.02
3176,29.00,31295.93,0.09
3183,14.00,15206.52,0.05
3213,27.00,30137.67,0.08
3252,27.00,31191.75,0.00
3277,6.00,7081.62,0.07
3286,1.00,1189.28,0.02
3296,18.00,21587.22,0.03
3324,15.00,18409.80,0.09
3345,10.00,12483.40,0.07
3382,25.00,32134.50,0.06
3419,18.00,23803.38,0.04
3473,24.00,33035.28,0.05
3516,11.00,15614.61,0.00
3731,29.00,47407.17,0.03
3843,19.00,33189.96,0.03
3847,13.00,22760.92,0.05
3890,24.00,43053.36,0.01
3918,28.00,51013.48,0.03
3942,25.00,46148.50,0.01
4081,1.00,985.08,0.06
4150,21.00,22137.15,0.00
4166,15.00,16052.40,0.01
4285,26.00,30921.28,0.10
4466,23.00,31520.58,0.05
4517,21.00,29851.71,0.09
4544,13.00,18831.02,0.08
4553,9.00,13117.95,0.06
4650,6.00,9327.90,0.08
4668,13.00,20444.58,0.01
4686,20.00,31813.60,0.08
4775,25.00,41994.25,0.07
4931,30.00,55077.90,0.10
5039,6.00,5664.18,0.05
5049,8.00,7632.32,0.09
5089,6.00,5964.48,0.00
5103,26.00,26210.60,0.05
5107,4.00,4048.40,0.06
5111,2.00,2032.22,0.03
5122,22.00,22596.64,0.09
5169,23.00,24705.68,0.01
5185,8.00,8721.44,0.10
5192,12.00,13166.28,0.05
5198,29.00,31992.51,0.02
5261,13.00,15161.38,0.00
5284,13.00,15460.64,0.09
5303,23.00,27790.90,0.08
5322,27.00,33137.64,0.05
5333,11.00,13621.63,0.00
5360,30.00,37960.80,0.02
5364,19.00,24117.84,0.02
5365,5.00,6351.80,0.10
5417,26.00,34382.66,0.09
5439,6.00,8066.58,0.07
5448,9.00,12180.96,0.10
5554,21.00,30650.55,0.00
5573,9.00,13307.13,0.01
5573,25.00,36964.25,0.05
5631,23.00,35342.49,0.06
5675,6.00,9484.02,0.04
5818,29.00,49990.49,0.07
5861,7.00,12368.02,0.09
5869,1.00,1774.86,0.03
5880,21.00,37503.48,0.03
5946,5.00,9259.70,0.01
5958,8.00,14911.60,0.02
6016,1.00,922.01,0.02
6035,14.00,13174.42,0.07
6049,2.00,1910.08,0.05
6117,19.00,19439.09,0.06
6139,24.00,25083.12,0.06
6151,15.00,15857.25,0.07
6181,25.00,27179.50,0.02
6255,5.00,5806.25,0.05
6365,25.00,31784.00,0.07
6367,30.00,38200.80,0.03
6531,8.00,11500.24,0.08
6563,6.00,8817.36,0.00
6675,21.00,33215.07,0.04
6690,7.00,11176.83,0.08
6745,3.00,4955.22,0.10
6784,27.00,45651.06,0.04
6792,12.00,20385.48,0.02
6801,12.00,20493.60,0.02
6815,3.00,5165.43,0.00
6869,28.00,49724.08,0.01
6896,1.00,1802.89,0.07
6968,12.00,22499.52,0.09
7007,25.00,22850.00,0.06
7012,29.00,26651.29,0.09
7022,6.00,5574.12,0.10
7024,20.00,18620.40,0.07
7045,20.00,19040.80,0.04
7070,17.00,16610.19,0.05
7142,16.00,16786.24,0.08
7169,5.00,5380.80,0.06
7187,25.00,27354.50,0.06
7227,11.00,12476.42,0.01
7284,10.00,11912.80,0.09
7322,22.00,27045.04,0.05
7387,26.00,33653.88,0.03
7433,21.00,28149.03,0.09
7445,25.00,33811.00,0.10
7509,20.00,28330.00,0.03
7538,25.00,36138.25,0.02
7549,6.00,8739.24,0.02
7646,13.00,20197.32,0.08
7725,19.00,31021.68,0.08
7810,15.00,25767.15,0.03
7864,26.00,46068.36,0.02
7928,12.00,22031.04,0.04
7951,16.00,29743.20,0.09
7984,19.00,35947.62,0.08
8052,20.00,19201.00,0.07
8062,4.00,3880.24,0.04
8074,15.00,14731.05,0.04
8107,24.00,24362.40,0.00
8210,26.00,29073.46,0.05
8233,7.00,7988.61,0.03
8246,16.00,18467.84,0.00
8278,2.00,2372.54,0.06
8309,27.00,32867.10,0.03
8421,3.00,3988.26,0.09
8441,27.00,36434.88,0.02
8475,2.00,2766.94,0.01
8482,19.00,26419.12,0.07
8485,23.00,32050.04,0.06
8557,26.00,38104.30,0.07
8614,4.00,6090.44,0.07
8669,6.00,9465.96,0.06
8693,6.00,9610.14,0.03
8702,9.00,14496.30,0.01
8798,7.00,11947.53,0.08
8811,20.00,34396.20,0.05
8851,16.00,28157.60,0.03
8873,12.00,21382.44,0.02
8957,23.00,42916.85,0.10
8975,28.00,52751.16,0.07
8976,2.00,3769.94,0.01
9009,10.00,9180.00,0.05
9034,14.00,13202.42,0.00
9103,24.00,24290.40,0.03
9104,17.00,17222.70,0.01
9107,23.00,23370.30,0.08
9162,26.00,27850.16,0.07
9305,4.00,4857.20,0.08
9400,15.00,19641.00,0.00
9409,15.00,19776.00,0.06
9503,5.00,7062.50,0.02
9550,28.00,40867.40,0.09
9558,4.00,5870.20,0.04
9581,6.00,8943.48,0.05
9598,7.00,10553.13,0.02
9602,14.00,21162.40,0.06
9603,22.00,33277.20,0.04
9630,1.00,1539.63,0.05
9647,9.00,14009.76,0.08
9752,1.00,1661.75,0.08
9765,13.00,21771.88,0.07
9787,17.00,28845.26,0.08
9808,15.00,25767.00,0.03
9822,23.00,39831.86,0.02
9851,9.00,15847.65,0.00
9953,19.00,35396.05,0.02
9993,27.00,51380.73,0.10
9994,3.00,5711.97,0.05
10023,14.00,13062.28,0.01
10027,14.00,13118.28,0.10
10089,1.00,999.08,0.01
10109,10.00,10191.00,0.01
10140,11.00,11551.54,0.00
10179,30.00,32675.10,0.10
10224,26.00,29489.72,0.10
10254,4.00,4657.00,0.01
10254,3.00,3492.75,0.00
10258,9.00,10514.25,0.09
10420,6.00,7982.52,0.00
10439,17.00,22940.31,0.04
10508,16.00,22696.00,0.05
10517,27.00,38542.77,0.06
10531,9.00,12973.77,0.05
10631,22.00,33915.86,0.01
10707,29.00,46913.30,0.03
10711,3.00,4865.13,0.00
10715,27.00,43894.17,0.06
10719,3.00,4889.13,0.03
10744,17.00,28130.58,0.05
10847,2.00,3515.68,0.10
10924,18.00,33028.56,0.01
10998,9.00,17180.91,0.03
11019,10.00,9300.10,0.10
11071,3.00,2946.21,0.01
11201,13.00,14458.60,0.10
11203,2.00,2228.40,0.09
11300,11.00,13324.30,0.03
11412,6.00,7940.46,0.01
11430,1.00,1341.43,0.01
11443,27.00,36569.88,0.03
11489,12.00,16805.76,0.00
11526,13.00,18687.76,0.07
11546,12.00,17490.48,0.10
11571,9.00,13343.13,0.02
11664,24.00,37815.84,0.05
11776,5.00,8438.85,0.07
11817,16.00,27660.96,0.00
11823,24.00,41635.68,0.05
11911,27.00,49218.57,0.10
11979,1.00,1890.97,0.03
12011,8.00,7384.08,0.07
12037,7.00,6643.21,0.08
12057,16.00,15504.80,0.06
12060,13.00,12636.78,0.08
12082,16.00,15905.28,0.07
12183,1.00,1095.18,0.09
12267,8.00,9434.08,0.04
12289,19.00,22824.32,0.10
12293,14.00,16874.06,0.08
12302,29.00,35214.70,0.04
12330,5.00,6211.65,0.01
12335,13.00,16215.29,0.03
12337,16.00,19989.28,0.04
12374,4.00,5145.48,0.10
12388,2.00,2600.76,0.02
12461,5.00,6867.30,0.09
12479,25.00,34786.75,0.10
12490,6.00,8414.94,0.06
12529,20.00,28830.40,0.07
12551,11.00,16099.05,0.08
12624,16.00,24585.92,0.08
12772,23.00,38749.71,0.04
12802,29.00,49729.20,0.08
12845,19.00,33398.96,0.03
12849,19.00,33474.96,0.04
12930,22.00,40544.46,0.03
12949,13.00,24205.22,0.01
13018,24.00,22344.24,0.03
13037,11.00,10450.33,0.06
13067,29.00,28421.74,0.01
13126,18.00,18704.16,0.01
13165,14.00,15094.24,0.02
13216,11.00,12421.31,0.09
13255,9.00,10514.25,0.04
13277,22.00,26185.94,0.04
13289,12.00,14427.36,0.02
13301,10.00,12143.00,0.07
13328,27.00,33515.64,0.03
13338,15.00,18769.95,0.10
13359,18.00,22902.30,0.10
13385,17.00,22072.46,0.01
13393,19.00,24821.41,0.02
13577,29.00,43226.53,0.05
13588,28.00,42044.24,0.09
13645,29.00,45200.56,0.07
13683,15.00,23950.20,0.07
13686,28.00,44791.04,0.03
13686,10.00,15996.80,0.03
13692,11.00,17662.59,0.03
13788,13.00,22123.14,0.03
13801,29.00,49729.20,0.09
13807,22.00,37857.60,0.00
13883,18.00,32343.84,0.01
13889,17.00,30648.96,0.04
13894,17.00,30734.13,0.03
13935,19.00,35129.67,0.04
13993,13.00,24790.87,0.08
14029,14.00,13202.28,0.09
14053,11.00,10637.55,0.10
14093,14.00,14099.26,0.02
14114,26.00,26730.86,0.06
14183,3.00,3291.54,0.08
14243,12.00,13886.88,0.04
14265,30.00,35377.80,0.09
14283,23.00,27537.44,0.10
14342,20.00,25126.80,0.06
14344,20.00,25166.80,0.00
14385,20.00,25987.60,0.08
14416,21.00,27938.61,0.09
14437,29.00,39191.47,0.06
14483,5.00,6987.40,0.10
14519,29.00,41571.79,0.10
14551,18.00,26379.90,0.08
14569,18.00,26704.08,0.06
14681,28.00,44679.04,0.02
14699,17.00,27432.73,0.01
14733,15.00,24715.95,0.09
14778,27.00,45704.79,0.08
14783,14.00,23768.92,0.06
14783,13.00,22071.14,0.03
14798,12.00,20553.48,0.01
14888,4.00,7211.52,0.07
14964,11.00,20668.56,0.09
14972,24.00,45287.28,0.03
15057,12.00,11664.60,0.04
15066,7.00,6867.42,0.06
15069,12.00,11808.72,0.02
15094,8.00,8072.72,0.03
15095,20.00,20201.80,0.07
15222,24.00,27293.28,0.03
15224,21.00,23923.62,0.02
15233,18.00,20668.14,0.07
15296,3.00,3633.87,0.10
15326,25.00,31033.00,0.06
15340,20.00,25106.80,0.01
15410,30.00,39762.30,0.07
15420,3.00,4006.26,0.10
15428,14.00,18807.88,0.04
15446,23.00,31313.12,0.06
15456,17.00,23314.65,0.05
15475,22.00,30590.34,0.10
15499,1.00,1414.49,0.02
15506,21.00,29851.50,0.10
15538,18.00,26163.54,0.01
15606,15.00,22824.00,0.08
15615,15.00,22959.15,0.08
15644,29.00,45229.56,0.05
15650,10.00,15656.50,0.07
15747,21.00,34917.54,0.06
15759,27.00,45218.25,0.10
15829,17.00,29661.94,0.09
15842,24.00,42188.16,0.08
15859,7.00,12423.95,0.00
15905,17.00,30955.30,0.02
15924,29.00,53357.68,0.10
15962,12.00,22535.52,0.02
15963,18.00,33821.28,0.04
15967,4.00,7531.84,0.08
16038,11.00,10494.33,0.06
16146,17.00,18056.38,0.00
16172,21.00,22851.57,0.01
16193,4.00,4436.76,0.10
16221,12.00,13646.64,0.10
16235,5.00,5756.15,0.00
16241,3.00,3471.72,0.07
16264,2.00,2360.52,0.01
16293,3.00,3627.87,0.03
16347,6.00,7580.04,0.00
16410,9.00,11937.69,0.03
16440,28.00,37980.32,0.01
16472,23.00,31934.81,0.09
16526,10.00,14425.20,0.08
16549,10.00,14655.40,0.07
16588,12.00,18054.96,0.09
16639,20.00,31112.60,0.06
16676,20.00,31853.40,0.00
16717,25.00,40842.75,0.08
16726,22.00,36139.84,0.04
16875,11.00,19710.57,0.06
16975,30.00,56759.10,0.07
17005,19.00,17518.00,0.04
17060,22.00,21495.32,0.06
17120,6.00,6222.72,0.03
17214,29.00,32805.09,0.09
17226,30.00,34296.60,0.02
17260,14.00,16481.64,0.04
17289,26.00,31363.28,0.02
17291,2.00,2416.58,0.09
17322,3.00,3717.96,0.01
17365,2.00,2564.72,0.05
17422,24.00,32146.08,0.06
17516,11.00,15768.61,0.10
17537,3.00,4363.59,0.00
17577,17.00,25407.69,0.03
17697,23.00,37137.87,0.01
17707,21.00,34118.70,0.02
17717,21.00,34328.91,0.04
17723,16.00,26251.52,0.07
17795,19.00,32543.01,0.10
17873,23.00,41190.01,0.02
17892,18.00,32578.02,0.00
17941,28.00,52050.32,0.00
17943,27.00,50245.38,0.01
17991,11.00,20998.89,0.05
18000,6.00,5508.00,0.05
18078,15.00,14941.05,0.04
18108,3.00,3078.30,0.02
18115,14.00,14463.54,0.07
18134,28.00,29459.64,0.01
18148,19.00,20256.66,0.01
18157,10.00,10751.50,0.08
18299,3.00,3651.87,0.08
18401,3.00,3958.20,0.04
18401,3.00,3958.20,0.01
18408,11.00,14590.40,0.08
18419,22.00,29423.02,0.04
18436,16.00,21670.88,0.06
18536,4.00,5818.12,0.02
18573,16.00,23865.12,0.07
18617,24.00,36854.64,0.03
18633,5.00,7758.15,0.06
18650,3.00,4705.95,0.02
18681,29.00,46390.72,0.09
18703,15.00,24325.50,0.07
18737,26.00,43048.98,0.07
18742,2.00,3321.48,0.04
18797,22.00,37747.38,0.06
18800,13.00,22344.40,0.00
18824,7.00,12199.74,0.03
18997,26.00,49815.74,0.10
19131,26.00,27303.38,0.00
19165,20.00,21683.20,0.08
19195,26.00,28968.94,0.03
19217,18.00,20451.78,0.02
19256,28.00,32907.00,0.07
